asset_name,asset_type,layer,path,purpose,grain,primary_date_field,recommended_usage,notes
dim_date,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_date.csv,Calendar dimension for all vente facts,one row per calendar date,date_key,Power BI slicers and time intelligence,Use for order invoice delivery payment and stock dates.
dim_customer,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_customer.csv,Customer/client dimension with group and partner attributes,one row per customer,none,BI slicers customer rankings drill-down,Type 1 dimension in current prototype.
dim_commercial,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_commercial.csv,Commercial sales representative dimension,one row per commercial,none,Commercial filters and sales rep performance,Uses AD_USER sales reps.
dim_product,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_product.csv,Product/article dimension with type theme collection and supplier keys,one row per product,none,Product article supplier/category drill-down,Primary supplier is attached by supplier_key.
dim_product_category,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_product_category.csv,Product category/family dimension,one row per category,none,Category and type d'article reporting,Used as article-type fallback in current dashboard.
dim_supplier,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_supplier.csv,Supplier/vendor dimension,one row per supplier,none,Supplier filters and supplier contribution pages,Uses product primary supplier logic.
dim_geography,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_geography.csv,Customer location city and region dimension,one row per geography member,none,Regional and city sales analysis,Zero-key rows may indicate missing optional location.
dim_payment_term,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_payment_term.csv,Payment term dimension,one row per payment term,none,Payment-term filters and receivable analysis,Prototype Type 1.
dim_price_list,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_price_list.csv,Price list/channel dimension,one row per price list,none,Channel or price list analysis,Useful later for margin/pricing.
dim_document_type,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_document_type.csv,Document type dimension for orders invoices deliveries payments,one row per document type,none,Type de commande and invoice type filters,Maps ERP C_DOCTYPE.
dim_sales_region,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_sales_region.csv,Sales region dimension,one row per sales region,none,Regional sales management,Used with geography.
dim_warehouse,dimension,gold,DataWareHouse/processus_de_vente/etl/output/dimensions/dim_warehouse.csv,Warehouse and locator dimension,one row per warehouse/locator,none,Stock and delivery analysis,Current extract mostly stock siege context.
fact_sales_order,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_sales_order.csv,Sales order header fact,one row per sales order,order_date_key,Executive order totals and order count,Validated 3350 rows.
fact_sales_order_line,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_sales_order_line.csv,Sales order line fact,one row per sales order line,order_date_key,Product ordered quantity CA commande and delivery/invoice coverage,Validated 67862 rows.
fact_invoice,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_invoice.csv,Invoice header fact,one row per invoice,invoice_date_key,CA facture paid unpaid invoice analysis,Validated 1182 rows.
fact_invoice_line,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_invoice_line.csv,Invoice line fact,one row per invoice line,invoice_date_key,Product/category/supplier invoiced CA,Validated 62146 rows.
fact_delivery,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_delivery.csv,Delivery header fact,one row per delivery,movement_date_key,Delivery counts and customer delivery tracking,Validated 4667 rows.
fact_delivery_line,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_delivery_line.csv,Delivery line fact,one row per delivery line,movement_date_key,Delivered quantity product and warehouse analysis,Validated 181631 rows.
fact_payment_allocation,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_payment_allocation.csv,Payment allocation fact linking invoices and payments,one row per allocation line,allocation_date_key,Receivable allocation payment collection analysis,Validated 245 rows.
fact_stock_snapshot,fact,gold,DataWareHouse/processus_de_vente/etl/output/facts/fact_stock_snapshot.csv,Stock snapshot fact,one row per product warehouse locator snapshot,snapshot_date_key,Stock availability and rupture risk,Validated 58826 rows.
mart_sales_overview,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_overview.csv,Monthly executive sales overview,one row per year month,month_number,Dashboard KPI and trend page,Use first for fast executive dashboards.
mart_sales_by_commercial,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_by_commercial.csv,Sales by commercial,one row per commercial,none,Commercial ranking dashboard,Good for Superset/Power BI quick chart.
mart_sales_by_customer,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_by_customer.csv,Sales by customer,one row per customer,none,Top clients dashboard,Good for customer ranking.
mart_sales_by_product,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_by_product.csv,Sales by product,one row per product,none,Top products dashboard,Large mart useful for product BI.
mart_sales_by_supplier,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_by_supplier.csv,Sales by supplier,one row per supplier,none,Supplier contribution dashboard,Uses primary supplier logic.
mart_sales_by_region,mart,gold,DataWareHouse/processus_de_vente/etl/output/marts/mart_sales_by_region.csv,Sales by geography/region,one row per region/geography member,none,Regional sales dashboard,Use with dim_geography for details.
